total  , 218932526
average log, 6.31809
test000,2050521
test001,2177781
test002,2778663
test003,2010703
test004,2365384
test005,2251615
test006,2193363
test007,3633484
test008,1748874
test009,710510
test010,2578522
test011,0
test012,1107008
test013,2285001
test014,1889814
test015,1436279
test016,1860463
test017,2113417
test018,1658615
test019,1439034
test020,1830375
test021,2283493
test022,1984662
test023,2751129
test024,2728819
test025,706833
test026,2669170
test027,2793682
test028,2956303
test029,1137222
test030,3361167
test031,2459948
test032,2491601
test033,2899592
test034,3231148
test035,1317778
test036,2015240
test037,2212087
test038,2953374
test039,1836079
test040,1706676
test041,990000
test042,2116616
test043,2522580
test044,1164709
test045,3001217
test046,2280442
test047,1480089
test048,3261580
test049,1642555
test050,1224306
test051,2278926
test052,3581354
test053,1112642
test054,2845203
test055,3356934
test056,1337445
test057,552801
test058,2105927
test059,1975892
test060,1454043
test061,2100253
test062,1452184
test063,3310504
test064,1515386
test065,2173101
test066,2492082
test067,2927538
test068,1679573
test069,3445778
test070,2521449
test071,2521922
test072,2990406
test073,2343916
test074,2347684
test075,1988332
test076,1956652
test077,3070253
test078,2121265
test079,1732032
test080,3072498
test081,1098869
test082,3894961
test083,1084296
test084,2426311
test085,2394902
test086,3124697
test087,2310973
test088,2500134
test089,2169273
test090,2715896
test091,3164741
test092,2306495
test093,1970502
test094,2717023
test095,2611778
test096,2156082
test097,1383375
test098,2304321
test099,1934399
